 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-1.96446,8.67637,-0.000417872,-0.000155148,1152,706,1.22939,5.0817,1,-1.96488,8.67622
-1.77347,8.67637,-0.000527805,-0.000414562,1159,706,1.22539,5.09063,1,-1.774,8.67596
-1.58248,8.67637,-0.000581092,-0.000435564,1166,706,1.22343,5.09084,1,-1.58306,8.67594
-1.39149,8.67637,-0.000514438,-0.000257257,1173,706,1.22588,5.08366,1,-1.39201,8.67612
-1.2005,8.67637,-0.000437882,1.83235e-05,1180,706,1.22863,5.07299,1,-1.20094,8.67639
-1.00952,8.67637,-0.000467843,0.000250044,1187,706,1.22751,5.06391,1,-1.00998,8.67662
-0.818526,8.67637,-0.000601063,0.000193764,1194,706,1.22262,5.06535,1,-0.819127,8.67657
-0.627536,8.67637,-0.000657715,-0.000132413,1201,706,1.22058,5.07671,1,-0.628194,8.67624
-0.436547,8.67637,-0.000534474,-0.00038994,1208,706,1.22504,5.0856,1,-0.437082,8.67598
-0.245558,8.67637,-0.000364612,-0.000356601,1215,706,1.23134,5.08371,1,-0.245922,8.67602
-0.0545684,8.67637,-0.000347947,-0.000130606,1222,706,1.23195,5.07488,1,-0.0549163,8.67624
0.136421,8.67637,-0.000434524,2.29179e-05,1229,706,1.22873,5.06865,1,0.135986,8.6764
0.32741,8.67637,-0.000561076,5.43751e-05,1236,706,1.22411,5.06687,1,0.326849,8.67643
0.5184,8.67637,-0.000737623,7.15314e-05,1243,706,1.21766,5.06564,1,0.517662,8.67644
0.709389,8.67637,-0.000927459,0.00012016,1250,706,1.21071,5.06327,1,0.708462,8.67649
0.900378,8.67637,-0.00106401,0.00013922,1257,706,1.20575,5.06202,1,0.899314,8.67651
1.09137,8.67637,-0.00102068,5.33612e-05,1264,706,1.20728,5.06456,1,1.09035,8.67643
1.28236,8.67637,-0.000690957,-7.72679e-06,1271,706,1.21942,5.06625,1,1.28167,8.67636
1.47335,8.67637,-0.00019134,0.000110462,1278,706,1.23762,5.06125,1,1.47315,8.67648
1.66434,8.67637,0.000138415,0.000360271,1285,706,1.2498,5.05153,1,1.66447,8.67673
1.85532,8.67637,0.000135092,0.000522371,1292,706,1.24961,5.045,1,1.85546,8.6769
2.04631,8.67637,0.000158449,0.00042507,1299,706,1.25055,5.048,1,2.04647,8.6768
2.2373,8.67637,0.000384922,0.000127479,1306,706,1.25881,5.05827,1,2.23769,8.6765
2.42829,8.67637,0.000484799,-0.000117648,1313,706,1.26245,5.06663,1,2.42878,8.67626
2.61928,8.67637,0.000241611,-0.000145309,1320,706,1.25348,5.06707,1,2.61952,8.67623
2.81027,8.67637,-0.000128159,5.68767e-05,1327,706,1.23998,5.05909,1,2.81014,8.67643
3.00126,8.67637,-0.000291217,0.000280026,1334,706,1.234,5.0503,1,3.00097,8.67665
3.19225,8.67637,-0.00019799,0.000332445,1341,706,1.23745,5.04777,1,3.19205,8.67671
3.38324,8.67637,4.51875e-05,0.000217958,1348,706,1.24629,5.05142,1,3.38328,8.67659
3.57423,8.67637,0.000258324,9.87062e-05,1355,706,1.2541,5.05518,1,3.57449,8.67647
3.76522,8.67637,0.000354888,0.000142542,1362,706,1.25769,5.05298,1,3.76557,8.67651
3.95621,8.67637,0.000411399,0.000197826,1369,706,1.25973,5.05035,1,3.95662,8.67657
4.1472,8.67637,0.000454556,0.000226407,1376,706,1.26131,5.04873,1,4.14765,8.6766
4.33819,8.67637,0.000388281,0.000290284,1383,706,1.25891,5.04578,1,4.33857,8.67666
4.52918,8.67637,0.000304843,0.000378958,1390,706,1.25585,5.04195,1,4.52948,8.67675
4.72016,8.67637,0.000425007,0.000377016,1397,706,1.26029,5.04138,1,4.72059,8.67675
4.91115,8.67637,0.000797886,0.000277777,1404,706,1.27389,5.04445,1,4.91195,8.67665
5.10214,8.67637,0.00114406,0.000189985,1411,706,1.28664,5.04703,1,5.10329,8.67656
5.29313,8.67637,0.00126757,0.000231911,1418,706,1.29111,5.04491,1,5.2944,8.6766
5.48412,8.67637,0.00114741,0.000291978,1425,706,1.28678,5.04214,1,5.48527,8.67666
5.67511,8.67637,0.000781201,0.000302475,1432,706,1.27329,5.04115,1,5.67589,8.67667
5.8661,8.67637,0.000378277,0.000330141,1439,706,1.25856,5.03952,1,5.86648,8.6767
6.05709,8.67637,0.000311536,0.000510366,1446,706,1.25605,5.03232,1,6.0574,8.67688
6.24808,8.67637,0.000551413,0.000830756,1453,706,1.2649,5.02003,1,6.24863,8.6772
6.43907,8.67637,0.000817995,0.00117689,1460,706,1.27468,5.00673,1,6.43989,8.67755
6.63006,8.67637,0.00099779,0.00149061,1467,706,1.2813,4.99465,1,6.63106,8.67786
6.82105,8.67637,0.00131109,0.00167366,1474,706,1.29267,4.98733,1,6.82236,8.67805
7.01204,8.67637,0.00166061,0.00162497,1481,706,1.3056,4.98854,1,7.0137,8.678
7.20303,8.67637,0.00161718,0.00121869,1488,706,1.30399,5.0028,1,7.20464,8.67759
7.39402,8.67637,0.00127428,0.000569239,1495,706,1.29144,5.02598,1,7.39529,8.67694
7.585,8.67637,0.00103438,1.51494e-05,1502,706,1.2826,5.04573,1,7.58604,8.67639
7.77599,8.67637,0.001104,2.2748e-05,1509,706,1.28514,5.04486,1,7.7771,8.6764
7.96698,8.67637,0.0012471,0.000531019,1516,706,1.29036,5.02565,1,7.96823,8.6769
8.15797,8.67637,0.00131438,0.00108603,1523,706,1.2929,5.0047,1,8.15929,8.67746
8.34896,8.67637,0.00151753,0.00132631,1530,706,1.30035,4.99528,1,8.35048,8.6777
8.53995,8.67637,0.00191998,0.00127952,1537,706,1.31507,4.99642,1,8.54187,8.67765
8.73094,8.67637,0.00230335,0.00122034,1544,706,1.32908,4.99801,1,8.73324,8.67759
8.92193,8.67637,0.00246644,0.00133379,1551,706,1.33507,4.99325,1,8.9244,8.67771
9.11292,8.67637,0.0024865,0.00163893,1558,706,1.3358,4.98145,1,9.11541,8.67801
9.30391,8.67637,0.0025199,0.00192215,1565,706,1.33702,4.97044,1,9.30643,8.6783
9.4949,8.67637,0.00252658,0.00200795,1572,706,1.33728,4.96673,1,9.49742,8.67838
9.68589,8.67637,0.00243693,0.00193641,1579,706,1.33398,4.96876,1,9.68832,8.67831
9.87688,8.67637,0.00225001,0.00185725,1586,706,1.3271,4.97105,1,9.87913,8.67823
10.0679,8.67637,0.00212697,0.00175233,1593,706,1.32264,4.97433,1,10.07,8.67812
10.2589,8.67637,0.00224712,0.00158826,1600,706,1.32698,4.97974,1,10.2611,8.67796
10.4498,8.67637,0.002517,0.0014423,1607,706,1.33692,4.98452,1,10.4524,8.67781
10.6408,8.67637,0.00258281,0.00147756,1614,706,1.3393,4.98262,1,10.6434,8.67785
10.8318,8.67637,0.0023835,0.00160439,1621,706,1.33204,4.97735,1,10.8342,8.67798
11.0228,8.67637,0.00206403,0.00162537,1628,706,1.32033,4.97603,1,11.0249,8.678
11.2138,8.67637,0.0019038,0.00157005,1635,706,1.31448,4.97739,1,11.2157,8.67794
11.4048,8.67637,0.00202015,0.00156906,1642,706,1.31877,4.97689,1,11.4068,8.67794
11.5958,8.67637,0.00229672,0.00162623,1649,706,1.3289,4.97416,1,11.5981,8.678
11.7868,8.67637,0.00251321,0.00165289,1656,706,1.33682,4.97258,1,11.7893,8.67803
11.9778,8.67637,0.00247697,0.00168052,1663,706,1.33539,4.97104,1,11.9802,8.67805
12.1687,8.67637,0.00227003,0.00173392,1670,706,1.3279,4.96844,1,12.171,8.67811
12.3597,8.67637,0.00192672,0.00183788,1677,706,1.31528,4.96405,1,12.3617,8.67821
12.5507,8.67637,0,0,1684,706,0,0,-1,12.5507,8.67637
-16.6706,8.48538,-0.0047481,0.00274439,613,713,1.07123,5.0213,1,-16.6754,8.48813
-16.4797,8.48538,-0.00458027,0.00250498,620,713,1.07742,5.02949,1,-16.4842,8.48789
-16.2887,8.48538,-0.00456884,0.00240864,627,713,1.07782,5.03241,1,-16.2932,8.48779
-16.0977,8.48538,-0.00465276,0.00239717,634,713,1.07477,5.03222,1,-16.1023,8.48778
-15.9067,8.48538,-0.00470426,0.00243435,641,713,1.07288,5.03028,1,-15.9114,8.48782
-15.7157,8.48538,-0.00471187,0.00254495,648,713,1.07259,5.02566,1,-15.7204,8.48793
-15.5247,8.48538,-0.00476909,0.0025888,655,713,1.07049,5.02342,1,-15.5295,8.48797
-15.3337,8.48538,-0.00495698,0.00243048,662,713,1.06358,5.0286,1,-15.3387,8.48781
-15.1427,8.48538,-0.00489025,0.00203849,669,713,1.06605,5.04239,1,-15.1476,8.48742
-14.9517,8.48538,-0.00448211,0.00171704,676,713,1.08097,5.0536,1,-14.9562,8.4871
-14.7607,8.48538,-0.00413973,0.00180568,683,713,1.09356,5.04975,1,-14.7649,8.48719
-14.5698,8.48538,-0.00407581,0.00209461,690,713,1.09587,5.03855,1,-14.5738,8.48748
-14.3788,8.48538,-0.00406913,0.00214608,697,713,1.09615,5.03606,1,-14.3828,8.48753
-14.1878,8.48538,-0.00390606,0.0019515,704,713,1.10211,5.04259,1,-14.1917,8.48733
-13.9968,8.48538,-0.00372106,0.00180268,711,713,1.10886,5.04751,1,-14.0005,8.48719
-13.8058,8.48538,-0.00357611,0.00178739,718,713,1.11423,5.04741,1,-13.8094,8.48717
-13.6148,8.48538,-0.00351602,0.00184648,725,713,1.11637,5.04467,1,-13.6183,8.48723
-13.4238,8.48538,-0.00365334,0.00196187,732,713,1.11139,5.03986,1,-13.4275,8.48734
-13.2328,8.48538,-0.00393943,0.00209538,739,713,1.10087,5.03436,1,-13.2368,8.48748
-13.0418,8.48538,-0.0040348,0.00207915,746,713,1.09743,5.03436,1,-13.0459,8.48746
-12.8509,8.48538,-0.00386791,0.00195323,753,713,1.10352,5.03839,1,-12.8547,8.48734
-12.6599,8.48538,-0.00366287,0.00191694,760,713,1.11103,5.03911,1,-12.6635,8.4873
-12.4689,8.48538,-0.0035799,0.00195601,767,713,1.1141,5.03711,1,-12.4725,8.48734
-12.2779,8.48538,-0.00349503,0.00186729,774,713,1.11718,5.03971,1,-12.2814,8.48725
-12.0869,8.48538,-0.00324519,0.00163359,781,713,1.12637,5.04775,1,-12.0901,8.48702
-11.8959,8.48538,-0.00283703,0.00150574,788,713,1.14129,5.05182,1,-11.8987,8.48689
-11.7049,8.48538,-0.00253089,0.00162204,795,713,1.15252,5.04696,1,-11.7074,8.48701
-11.5139,8.48538,-0.00255853,0.00180226,802,713,1.15151,5.03974,1,-11.5165,8.48719
-11.3229,8.48538,-0.00280076,0.00177841,809,713,1.14263,5.04004,1,-11.3257,8.48716
-11.1319,8.48538,-0.00298866,0.00150852,816,713,1.13573,5.04933,1,-11.1349,8.48689
-10.941,8.48538,-0.00297819,0.00126244,823,713,1.1361,5.05774,1,-10.9439,8.48665
-10.75,8.48538,-0.00287519,0.00124143,830,713,1.13986,5.05792,1,-10.7528,8.48662
-10.559,8.48538,-0.00276169,0.0013854,837,713,1.14407,5.05208,1,-10.5617,8.48677
-10.368,8.48538,-0.00263676,0.00139871,844,713,1.14861,5.05094,1,-10.3706,8.48678
-10.177,8.48538,-0.00263868,0.00116122,851,713,1.14857,5.05906,1,-10.1796,8.48654
-9.98601,8.48538,-0.00276078,0.000890367,858,713,1.1441,5.06843,1,-9.98877,8.48627
-9.79502,8.48538,-0.00284757,0.000823592,865,713,1.14094,5.07024,1,-9.79787,8.48621
-9.60403,8.48538,-0.00282563,0.000889369,872,713,1.14175,5.06726,1,-9.60686,8.48627
-9.41305,8.48538,-0.00268544,0.000824482,879,713,1.14685,5.06904,1,-9.41573,8.48621
-9.22206,8.48538,-0.00251951,0.000651828,886,713,1.15296,5.07474,1,-9.22458,8.48603
-9.03107,8.48538,-0.0024108,0.000624138,893,713,1.15694,5.07519,1,-9.03348,8.48601
-8.84008,8.48538,-0.00243749,0.000741417,900,713,1.15594,5.07029,1,-8.84251,8.48612
-8.64909,8.48538,-0.00251759,0.000804342,907,713,1.15304,5.0674,1,-8.65161,8.48619
-8.4581,8.48538,-0.00255765,0.000729934,914,713,1.15155,5.06954,1,-8.46066,8.48611
-8.26711,8.48538,-0.00258531,0.0006622,921,713,1.15051,5.07142,1,-8.2697,8.48604
-8.07612,8.48538,-0.00261868,0.000744194,928,713,1.14929,5.06782,1,-8.07874,8.48613
-7.88513,8.48538,-0.0026306,0.000850982,935,713,1.14885,5.06328,1,-7.88776,8.48623
-7.69414,8.48538,-0.00259913,0.000808993,942,713,1.15005,5.06428,1,-7.69674,8.48619
-7.50315,8.48538,-0.00249901,0.000621086,949,713,1.15371,5.07053,1,-7.50565,8.486
-7.31216,8.48538,-0.00234738,0.000529495,956,713,1.15921,5.07328,1,-7.31451,8.48591
-7.12117,8.48538,-0.00223101,0.000721149,963,713,1.16351,5.0657,1,-7.1234,8.4861
-6.93018,8.48538,-0.00219427,0.00108447,970,713,1.16484,5.05175,1,-6.93238,8.48647
-6.73919,8.48538,-0.00216087,0.00129521,977,713,1.16609,5.04347,1,-6.74136,8.48668
-6.54821,8.48538,-0.00207791,0.00114926,984,713,1.16916,5.04823,1,-6.55028,8.48653
-6.35722,8.48538,-0.00206125,0.000813542,991,713,1.16972,5.05991,1,-6.35928,8.4862
-6.16623,8.48538,-0.00208129,0.000599896,998,713,1.16899,5.06716,1,-6.16831,8.48598
-5.97524,8.48538,-0.00194301,0.000594137,1005,713,1.17409,5.06676,1,-5.97718,8.48598
-5.78425,8.48538,-0.0016283,0.00063414,1012,713,1.18562,5.06473,1,-5.78588,8.48602
-5.59326,8.48538,-0.0014185,0.000508212,1019,713,1.1933,5.06875,1,-5.59468,8.48589
-5.40227,8.48538,-0.00149338,0.000225906,1026,713,1.19053,5.07852,1,-5.40376,8.48561
-5.21128,8.48538,-0.00170989,-1.2519e-05,1033,713,1.18267,5.08658,1,-5.21299,8.48537
-5.02029,8.48538,-0.00178618,1.51192e-05,1040,713,1.17981,5.08502,1,-5.02208,8.4854
-4.8293,8.48538,-0.00165646,0.000251595,1047,713,1.18453,5.07572,1,-4.83096,8.48563
